"Part";"Value";"Device";"Package";"Description";"";
"C1";"2.2uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C2";"10 uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C3";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C4";"2.2uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C5";"10 uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C6";"10uf";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C7";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C8";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C9";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C10";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C11";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C12";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C13";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C14";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C17";"22uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C18";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C19";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C20";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C21";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C22";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C23";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C24";"100pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C25";"1.5nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"IC1";"ADS1298*PAG*";"ADS1298*PAG*";"TQFP64";"8-Channel, 24-Bit Analog-To-Digital Converter With Integrated ECG Front End.";"";
"IC2";"TPS73250DBVT";"TPS732XXDBV";"SOT23-5";"Cap-Free, NMOS, 250mA Low Dropout Regulator";"";
"IC3";"TPS73233DBVT";"TPS732XXDBV";"SOT23-5";"Cap-Free, NMOS, 250mA Low Dropout Regulator";"";
"JP1";"M24";"M24";"1X24";"1x24 .1" header";"";
"JP2";"M24";"M24";"1X24";"1x24 .1" header";"";
"L1";"3.3 uH";"INDUCTOR0603";"0603";"Inductors";"";
"L2";"3.3 uH";"INDUCTOR0603";"0603";"Inductors";"";
"R1";"1M";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
